timestamp,rpm,potenciaconsumida,J,Jb,angulo_pie,angulo_hombro,vel_critica,porcentajesolidos,solver_error_exception
2024-03-01 00:00:00,12.2,6092,35.064593054114084,10.49484387126423,224.52305970501763,48.0716906425352,71.21015686677401,0.44798568725000004,
2024-03-01 00:15:00,12.2,6078,35.05104790317273,10.220906663249824,224.54283459668144,48.060275409435995,71.21015686677401,0.4465957451,
2024-03-01 00:30:00,12.2,6079,35.11314007441252,10.157364974756161,224.45218391490582,48.11259142439198,71.21015686677401,0.44604503630000003,
2024-03-01 00:45:00,12.2,6084,34.85890136795205,10.651081727277353,224.82334314381856,47.89818019890534,71.21015686677401,0.44954469680000003,
2024-03-01 01:00:00,12.2,6090,34.89225890121451,10.7369834179344,224.77464699706817,47.92634251551508,71.21015686677401,0.44988002774999997,
2024-03-01 01:15:00,12.2,6105,35.14112537024629,10.64751093357275,224.41132644253048,48.13616016086928,71.21015686677401,0.44852012635,
2024-03-01 01:30:00,12.2,6084,34.77551359785866,10.788857690615679,224.94507201981435,47.82773939645362,71.21015686677401,0.4505768585,
2024-03-01 01:45:00,12.2,6112,35.21957867792662,10.68664915766726,224.29678528156995,48.202197775516325,71.21015686677401,0.4484505272,
2024-03-01 02:00:00,12.2,6137,35.382409400066535,10.941448982387426,224.0590429323597,48.33909766744878,71.21015686677401,0.4492291832,
2024-03-01 02:15:00,12.2,6146,35.88187022398778,10.365192744685446,223.3297081964594,48.757656130437596,71.21015686677401,0.44449409484999997,
2024-03-01 02:30:00,12.2,6114,35.03762437574186,11.005130707891956,224.56243182801236,48.048961182940445,71.21015686677401,0.45078496934999995,
2024-03-01 02:45:00,12.2,6092,34.52717830993788,11.359182026319026,225.30756791671197,47.61762159082776,71.21015686677401,0.45454507829999996,
2024-03-01 03:00:00,12.2,6104,34.479669786225706,11.677653544768152,225.37691251437576,47.577366432132905,71.21015686677401,0.4564499664,
2024-03-01 03:15:00,12.2,6069,34.11792922489258,11.536700369384665,225.9048786680376,47.270244224649616,71.21015686677401,0.45705194470000005,
2024-03-01 03:30:00,12.2,6085,34.242007980537885,11.648002379225582,225.72379149782043,47.37571021334554,71.21015686677401,0.45718538285,
2024-03-01 03:45:00,12.2,6072,33.537319283852405,12.531770830643449,226.75214588620577,46.775042921627374,71.21015686677401,0.46484010695,
2024-03-01 04:00:00,12.2,6081,33.336455956996346,13.033998509208864,227.04521988589875,46.60307947533659,71.21015686677401,0.46850133895,
2024-03-01 04:15:00,12.2,6100,33.11070953691523,13.785491078366416,227.374575981619,46.40941578881498,71.21015686677401,0.47377288819999996,
2024-03-01 04:30:00,12.2,6042,31.949601649503162,14.552293007598175,229.06819931923732,45.406678226392295,71.21015686677401,0.48345516205000005,
2024-03-01 04:45:00,12.2,5975,30.784852857839716,15.205201724523818,230.76650233986553,44.38961352771593,71.21015686677401,0.4930798149,
2024-03-01 05:00:00,12.2,5962,30.148044196575935,16.078978586244517,231.6947700823045,43.828810916684844,71.21015686677401,0.50190387725,
2024-03-01 05:15:00,12.2,5998,30.6112190289059,15.971901506612063,231.0196234801201,44.2370359001006,71.21015686677401,0.49878566739999997,
2024-03-01 05:30:00,12.2,5922,29.52220393860625,16.40930642366121,232.60688205253908,43.27440289379852,71.21015686677401,0.5074623298500001,
2024-03-01 05:45:00,12.2,5952,29.861618344650196,16.388028119993134,232.11223302625655,43.57547887107503,71.21015686677401,0.505446949,
2024-03-01 06:00:00,12.2,5985,30.473538628160895,15.949502679333463,231.2203228767049,44.11587466453389,71.21015686677401,0.49935853960000004,
2024-03-01 06:15:00,12.2,6014,30.833608188338978,15.902117508981634,230.69542508395182,44.432411620846295,71.21015686677401,0.4972016716,
2024-03-01 06:30:00,12.2,6009,31.45961411017197,14.7191374172154,229.78271770204546,44.98018372149781,71.21015686677401,0.48677257535,
2024-03-01 06:45:00,12.2,6032,31.40648316140141,15.274618165670942,229.860188664459,44.93381839206413,71.21015686677401,0.49043252945000004,
2024-03-01 07:00:00,12.2,6031,31.83228168338973,14.527560781045281,229.23928980963933,45.304741186781314,71.21015686677401,0.4838513565,
2024-03-01 07:15:00,12.2,6029,31.611097317763782,14.855262274845456,229.56183092148572,45.11224929675735,71.21015686677401,0.48687791825,
2024-03-01 07:30:00,12.2,5995,31.17195883539534,14.93983708396655,230.20213657266876,44.72887949913904,71.21015686677401,0.48951530460000003,
2024-03-01 07:45:00,12.2,6024,31.15621093483787,15.54749022076575,230.22509689572047,44.71510193417774,71.21015686677401,0.49335351940000005,
2024-03-01 08:00:00,12.2,6021,31.47504827321245,14.931536207254073,229.7602126980438,44.99364815076583,71.21015686677401,0.48799377445000014,
2024-03-01 08:15:00,12.2,6112,32.84089389911241,14.467205315038676,227.7681944341848,46.177394282662064,71.21015686677401,0.4789402962,
2024-03-01 08:30:00,12.2,6158,33.61837565455789,14.15283435322639,226.63387305330136,46.844342776913315,71.21015686677401,0.4737919426000001,
2024-03-01 08:45:00,12.2,6151,33.81934172599721,13.683099301435533,226.34062037996887,47.0159267139526,71.21015686677401,0.47024866105,
2024-03-01 09:00:00,12.2,6142,33.92552899893054,13.339617858487335,226.1856619666985,47.10645441679921,71.21015686677401,0.46785432815,
2024-03-01 09:15:00,12.2,6138,33.89643795313169,13.300690125107954,226.22811492344835,47.08166271359715,71.21015686677401,0.4677484512,
2024-03-01 09:30:00,12.2,6128,33.946794186405896,13.013743061911818,226.15462911416168,47.12457242290117,71.21015686677401,0.46591888425,
