Fecha,Potencia(kW),Energia,Tonelaje_mineral_fresco(ton),Agua_alimentada(ton),Porcentaje_de_solidos,Densidad_hidroseparador
2024-11-29 12:15:00,6119.08203125,12.2219924926755,501.24250793456997,0.0,58.6882686614995,41.041425704956
2024-11-29 12:30:00,6069.7590332031505,12.191116809845,499.20147705078,0.0,59.224941253661996,41.145906448364
2024-11-29 12:45:00,6102.9025878906505,12.199172973633,499.47146606445,0.0,59.4047775268555,41.0528869628905
2024-11-29 13:00:00,6104.3962402344005,12.206580162047999,499.76152038574,0.0,59.3190326690675,40.7801265716555
2024-11-29 13:15:00,6085.9624023437,12.171660423279,499.87330627440997,0.0,59.7727508544925,40.9152851104735
2024-11-29 13:30:00,6062.3642578125,12.118492603302,499.57275390625,0.0,60.09061050415,41.027549743652
2024-11-29 13:45:00,6126.6047363281505,17.668632030487,380.75482177734,0.0,59.028482437134,40.5764026641845
2024-11-29 14:00:00,6562.5068359375,24.400442123413,268.62435913086,0.0,49.037389755248995,37.0797119140625
2024-11-29 14:15:00,6677.3349609375,45.01704788208,0.0814316757023335,0.0,33.017478942871,28.575331687927
2024-11-29 14:30:00,6833.9638671875,17.219904899597502,346.41192626953,0.0,27.6010150909425,23.438293457031
2024-11-29 14:45:00,6745.6499023438,16.8565187454225,401.193084716795,0.0,33.051717758178995,26.2975063323975
2024-11-29 15:00:00,6639.69482421875,16.6228675842285,399.465606689455,0.0,37.6029357910155,35.17071723938
2024-11-29 15:15:00,6615.7387695312,16.6098766326905,398.82987976074,0.0,41.3883781433105,40.9160861968995
2024-11-29 15:30:00,6637.0617675781505,24.0950450897215,273.89707946777503,0.0,39.686212539673,39.207386016846
2024-11-29 15:45:00,6624.7177734375,20.9151039123535,318.304244995115,0.0,38.822916030884,37.466667175293
2024-11-29 16:00:00,6615.3557128905995,16.629548072815,397.08428955078,0.0,42.417959213257,40.077238082886
2024-11-29 16:15:00,6573.4118652344005,16.432644844055503,400.07286071777503,0.0,44.3449001312255,38.1661224365235
2024-11-29 16:30:00,6541.1770019531505,16.355692863464498,399.90379333496,0.0,45.9222831726075,39.5962505340575
2024-11-29 16:45:00,6522.958984375,15.7255039215085,412.623962402345,0.0,47.440439224243,40.338289260864
2024-11-29 17:00:00,6444.0114746094005,13.3858270645145,479.92657470703,0.0,50.873073577881,42.166633605957
2024-11-29 17:15:00,6366.123046875,13.24347114563,480.05674743652503,0.0,54.046592712402,40.595701217651495
2024-11-29 17:30:00,6293.2229003906505,13.1286334991455,479.323303222655,0.0,55.2686500549315,41.673248291016
2024-11-29 17:45:00,6246.6628417969005,12.971661090851,480.82621765137003,0.0,56.340311050414996,41.975046157837
2024-11-29 18:00:00,6333.2312011719005,13.145411968231,480.07868957519497,0.0,53.778055191039996,37.690570831299
2024-11-29 18:15:00,6303.2731933594005,13.137843132019,479.887741088865,0.0,55.973035812378,40.1612148284915
2024-11-29 18:30:00,6224.2619628906505,12.941337108612501,480.50192260742,0.0,56.4243450164795,40.780281066895
2024-11-29 18:45:00,6258.4885253906505,13.024398803711,479.79490661621,0.0,55.9178047180175,40.4329891204835
2024-11-29 19:00:00,6265.7946777343495,13.084612846374501,480.08020019531,0.0,56.010368347168,40.294174194336
2024-11-29 19:15:00,6291.7646484375,13.0885553359985,480.131896972655,0.0,55.890720367431996,39.903060913085994
2024-11-29 19:30:00,6266.5656738280995,13.037962913512999,480.57130432129,0.0,55.782447814941506,40.344961166382
2024-11-29 19:45:00,6263.7333984375,13.045461654663,479.89784240723,0.0,55.7673053741455,40.7970428466795
2024-11-29 20:00:00,6252.65380859375,13.0698075294495,480.29058837891,0.0,55.71785736084,40.4087619781495
2024-11-29 20:15:00,6295.5231933593495,13.1019430160525,478.77134704590003,0.0,55.205219268799,40.044065475464
2024-11-29 20:30:00,6308.7749023437,13.0908613204955,480.49328613281,0.0,54.791143417358,40.262788772583
2024-11-29 20:45:00,6341.7233886718495,13.191348552703499,481.74899291992,0.0,55.414234161376996,40.845458984375
2024-11-29 21:00:00,6319.8449707031505,13.231187343597501,478.23747253418003,0.0,54.650484085083,40.228141784668
2024-11-29 21:15:00,6305.126953125,13.052724838257,481.51502990723,0.0,55.0768356323245,40.4484519958495
2024-11-29 21:30:00,6303.91064453125,13.1894335746765,479.229522705075,0.0,55.3111152648925,40.14803314209
2024-11-29 21:45:00,6299.4841308594005,13.1901202201845,478.78411865234,0.0,54.9080715179445,40.1560955047605
